0.4880952380952381 	Hy is sy lewe lank al gelowig.	PDHENP VTHOK PDHEB NSE BS BS VTHOG ZE ZPR
0.5050453514739229 	ÒDit was vir my moeilik wanneer van die vroue huis toe moes gaan, want dis hul droom wat in duie stort.	ZPL PDOENP VVHOK SVS PEEDP BS PB SVS LB NSM NSE UPW VVUOM VTHOO ZM KN NSM PDMB NSE PB SVS NSE UPW ZE
0.43726190476190474 	Maar vir ander boere en vroue word die liefde _ werklikheid en dit laat my hart warm klop,Ó sê sy.	KN SVS ASA NSM KN NSM VTUOP LB NA LO NSE KN PDOENP VTHOG PEEDP NA NSE VTHOG ZM ZPL NSE PDHEB ZE
0.36428571428571427 	Nee, sy mag nie verklap wie wel liefde vind nie.	 NA ZM PDVENP VTUOM BS NSE PB BS NA VTHOG UPO ZE 
0.7482142857142856 	 ÒDis _ groot geheim,Ó se sy.	ZPR NSE LO ASA NSE ZM ZPR UPS PDHEB ZE 
0.43583333333333335 	 ÒMaar al die boere in die topvyf is baie opreg.	ZPR KN THAO LB NSM SVS LB NSE VTHOK THBO BS ZE 
0.37867063492063496 	Hulle wil net iemand vind met wie hulle hul lewe kan deel.	 PDMP VTUOM BS PO NA SVS PB PDMP PDMB NSE VTUOM VTHOO ZE 
0.26255411255411254 	Albert se hoop inspireer my byvoorbeeld, terwyl Gerrie se gekskeerdery groot pret is.	 NEE UPS NA VTHOG PEEDP BS ZM KO NSM UPS NSE ASA NSE VTHOK ZE 
0.3601190476190476 	Mense besef net nie dat hy ook ernstig is nie.	 NSM NA BS BS KO PDHENP BS ASP VTHOK UPO ZE 
0.5144761904761905 	ÒDit is aanvanklik moeilik om Johan te tipeer, maar kykers sal sien hoe hy ontwikkel. Kevin is _ ware heer en kan drie tale praat _ Afrikaans, Engels en Sotho!Ó vertel sy.	ZPL PDOENP VTHOK BS BS SVS NEE UPI VTHOG ZM KN NSM VTUOM VTHOO PB PDHENP VTHOG ZE  NSE VTHOK LO ASA NSE KN VTUOM THAB NSM VTHOO ZM NEE ZM NEE KN NEE ZE ZPR NSE PDHEB ZE
0.3819444444444445 	"ÒJy noem dit ontspanningsletterkunde; dit het definitief nie groot letterkundige waarde nie. "	 ZPL PTENP VTHOG PDOENP NA ZM PDOENP VTHOG BS BS ASP ASA NSE UPO ZE 
0.5380952380952382 	_ Mens kan seker van gr. 12-leerders verwag om iets met meer substansie teen die einde van hul skoolloopbaan te kan lees?Ó	LO NSE VTUOM BS SVS ASA NSM VTHOG SVS PO SVS THAO NSM SVS LB NSE SVS PDMB NSE UPI VTUOM VTHOG ZE ZPR 
0.5511904761904761 	Gr. 12-leerders het gister die tweede vraestel van Afrikaans-huistaal geskryf.	 ASA NSM VUOT SVS LB TRAB NSE SVS NSE VVHOG ZE 
0.49499999999999994 	Skole kon kies om Eleanor Baker se Die kwart-voor-sewe-lelie, Pieter Pieterse se Manaka plek van die horings of A.H.M. Scholtz se Vatmaar te behandel. 	 NSM VVUOM VTHOG SVS NEE NEE UPS LB NSE ZM NEE NEE UPS NEE NSE SVS LB NSM KN NEE NEE UPS NSE UPI VTHOG ZE 
0.5108333333333335 	ÒIs daar niks anders in Afrikaans wat ons vir die leerders kan voorskryf nie?Ó het dr Marius Crous, dosent in die departement tale en letterkunde aan die NMMU gevra.	ZPR NSE UPW PO ASP SVS NEE PB PEMP SVS LB NSM VTUOM VTHOG UPO ZE ZPL VUOT NSE NEE NEE ZM NSE SVS LB NSE NSM KN NA SVS LB NSE VVHOG ZE 
0.45601851851851843 	ÒDi_ boeke is populêre boeke, maar vir matriek soek _ mens darem iets met meer om die lyf.	ZPL ASA NSM VTHOK ASA NSM ZM KN SVS NM VTHOG LO NSE VTHOG PO SVS THAO SVS LB NSE ZE 
0.4022222222222222 	Maar deesdae is almal mos bang vir enige boek wat vloekwoorde of sekstonele in het. 	KN NSM VTHOK PO NSE ASP SVS PO NSE PB NSM KN NSM SVS VTHOG ZE 
0.5333333333333333 	ÒEk dink byvoorbeeld aan _ boek soos Pawpaw vir my darling deur Jeanne Goosen of Ettienne van Heerden se Toorberg.	ZPR PEENP NA BS SVS LO NSE UPV NEE SVS PEEB NSE SVS NEE NEE KN NEE SVS NEE UPS NSE ZE 
0.3696969696969697 	Die leerders kla dat die boeke op skool so sieldodend is.	 LB NSM NSE KO LB NSM SVS NSE UPV VVHOG VVUOP ZE 
0.4256410256410257 	Daag hulle _ bietjie uit!Ó Van Vuuren het ook Jeanne Goosen se Ons is nie almal so nie as _ alternatiewe roman voorgestel.	 SVS PDMP LO THAO UPW ZE ZPR   SVS NSE VUOT BS SVS NEE UPS PEMP VTHOK BS PO UPV BS KO LO ASA NSE VVHOG ZE 
0.4763888888888889 	In die res van die letterkundevraestel was daar vrae oor voorgeskrewe dramas en gedigte asook een ongesiene gedig. Van Vuuren is verras deur die tipe vrae wat in die vraestel voorgekom het.	 SVS LB NSE SVS LB NA VVHOK UXD NSM SVS ASA NSM KN NSM KN THBB ASA NSE ZE  SVS NEE VTHOK ASP SVS LB NSE NSM PB SVS LB NSE VVHOO VUOT ZE 
0.4033333333333333 	 ÒDie vrae is baie tegnies.	ZPR LB NSM VVUOP THAO NSM ZE 
0.4371794871794872 	Daar is min gevra oor die effek van die gedig of die teks.	 UXD VTHOK THBO VVHOG SVS LB NSE SVS LB NSE KN LB NSE ZE 
0.5264583333333335 	Dit is soos om vir _ werktuigkundige net oor die tegniese binnegoed van die motor te vra, sonder om ooit terug te staan en te besluit of die kar vir jou mooi is of hoe die kar jou laat voel.	 PDOENP VTHOK UPV SVS SVS LO ASA BS SVS LB ASA NA SVS LB NSE UPI VTHOG ZM SVS SVS BS UPW UPI VTHOO KN UPI VTHOG KN LB NSE SVS PTEDP VTHOG VVUOP KN PB LB NSE PTEB ASA VTHOK ZE 
0.48181818181818187 	S— gaan _ mens nie liefde vir die letterkunde kweek nie.	 NSM VTUOM LO NSE BS NA SVS LB NA VTHSG UPO ZE 
0.29791666666666666 	En dit sien ek aan die vrot produkte van skole wat hier by my departement aankom.Ó	 KN PDOENP VTHOO PEENP SVS LB ASA NSM SVS NSM PB BS SVS PEEB NSE VTHOG ZE ZPR 
0.4493827160493827 	Te midde van sterk veroordeling van intelligensiekenners dat di_ optrede onwettig was, het Mahlobo gesê hy was self uit die veld geslaan oor die aktivering van die seinwartoestel.	 UPI NA SVS ASA NA SVS NSM KO ASA NSE BS VVHOK ZM VUOT NEE BS PDHENP VVHOK PDOEW SVS LB NSE VVHOG SVS LB NSE SVS LB NSE ZE 
0.4 	Geen uitvoerende of politieke besluit is geneem om met die vrye vloei van inligting tydens verlede Donderdag se staatsrede in te meng nie _ dit was alles _ glips, het hy gesê.	 THAB ASA KN ASA NSE VVUOP VVHOG SVS SVS LB ASA NA SVS NM SVS ASA NEE UPS NSE UPW UPI VTHOG UPO ZM PDOENP VVHOK PO LO NSE ZM VUOT PDHENP VTHOG ZE 
0.38846153846153847 	ÒDie seinversperring is veroorsaak deur _ operasionele fout deur _ lid aan diens.Ó	 ZPR LB NA VVUOP VTHOG SVS LO ASA NSE SVS LO NSE SVS NSE ZE ZPR 
0.34234234234234223 	Die gebied om die parlement is tot _ vliegspergebied verklaar en die lugruim-veiligheidsplan is met ÒpresisieÓ uitgevoer terwyl die president en adjunkpresident na die parlement geneem is en totdat hulle voor die parlement gesalueer het, het Mahlobo gesê. 	 LB NSE SVS LB NSE VTHOK SVS LO NSE VTHOG KN LB NSE VTHOK SVS ZPL NSE ZPR VVHOG KO LB NSE KN NSE SVS LB NSE VVHOG VVUOP KN KO PDMP SVS LB NSE VTHOG VUOT ZM VUOT NEE NSE ZE  
0.24333333333333335 	ÒDie teen-bedreigingsmaatre‘l is langer as die normale operasionele vereistes toegepas.	ZPR LB NA VTHOK BV KO LB ASA ASA NSM VVHOG ZE
0.5444444444444445 	ÒDie operateur het die toestel nie behoorlik gedeaktiveer nie en dit het _ uitwerking op sekere selfoongebruikers gehad,Ó het hy gesê.	 ZPR LB NSE VUOT LB NSE BS BS VTHOG UPO KN PDOENP VUOT LO NSE SVS ASA NSM VVHOG ZM ZPR VUOT PDHENP VTHOG ZE 
0.6115384615384616 	_ Departementele ondersoek is aan die gang en daar sal moontlik tugstappe wees. Ò	 LO NSE VTHOG VVUOP SVS LB NA KN UXD VTUOM BS NSM VTHOK ZE 
0.4625 	Die departement van staatsveiligheid is spyt oor die onbedoelde sein-inmenging in sekere dele van die parlement.Ó	ZPR LB NSE SVS NA VTHOK NSE SVS LB ASA NSE SVS ASA NSM SVS LB NSE ZE ZPR 
0.45158730158730165 	Volgens Mahlobo is dit die SSA se mandaat om sulke maatre‘ls toe te pas by groot gebeurtenisse waar die president en adjunkpresident is.	 SVS NEE VTHOK PDOENP LB RL UPS NSE SVS ASA NSM UPW UPI VTHOG SVS ASA NSM PB LB NSE KN NSE VTHOK ZE 
0.2782608695652174 	_ Risiko-ontleding is vooraf gedoen en die risiko by die staatsrede is as groot beskou as gevolg van ÒongekendeÓ gebeure voor die geleentheid.	 LO NSE VVUOP BS VVHOG KN LB NSE SVS LB NSE VTHOK KO ASA VTHOG KO NSE SVS ZPL NSE ZPR NSM SVS LB NSE ZE 
0.16 	Maksimum veiligheidsmaatre‘ls was dus nodig.	 NSE NSM VVHOK BS ASP ZE 
0.488235294117647 	Die SSA was verantwoordelik vir risiko-ontleding en die weermag vir die beveiliging van die lugruim, het hy gesê.	 LB NSE VVHOK ASP SVS NA KN LB NA SVS LB NA SVS LB NSE ZM VUOT PDHENP VTHOG ZE 
0.34 	ÒIn die toekoms sal die departement verseker dat sy lede meer toegewyd is in die uitvoer van hul operasionele pligte.Ó	 ZPL SVS LB NA VTUOM LB NSE VTHOG KO PDHEB NSM THBO ASP VTHOK SVS LB NA SVS PDMB ASA NSM ZE ZPR 
0.3011111111111111 	_ Voormalige senior intelligensie hooggeplaaste het gisteraand met ongeloof gereageer op die minister se verduideliking.	 LO THAO ASA NM NSE VUOT BS SVS NSE VVHOO SVS LB NSE UPS NSE ZE 
0.3243589743589744 	Hy het op voorwaarde van anonimiteit gesê die verskoning het nie sin nie.Ó	 PDHENP VUOT SVS NSE SVS NA VTHOG LB NSE VUOT BS NSE UPO ZE ZPR 
0.5277777777777778 	ÒWat het _ vliegspergebied met selfoonontvangs uit te waai?	ZPL PV VUOT LO NSE SVS NA UPW UPI VTHOG ZE 
0.3522727272727273 	Dit is duidelik die SSA het sy magte oorskry, wetgewing en die parlement se re‘ls verontagsaam en nou probeer hulle die kwessies verwar.Ó	DOENP VTHOK BS LB RL VUOT PDHEB NSE VTHOG ZM NA KN LB NSE UPS NSM BS KN BS VTUOA PDMP LB NSM VTHOG ZE ZPR
0.5047619047619047 	Indien die versekerde se dood binne die eerste 24 maande direk of indirek verband hou met, of as gevolg van selfmoord of Õn selfmoordpoging is, sal die dekking nie goedgekeur en voordele nie uitbetaal word nie.	 KO LB NSE UPS NM SVS LB TRAB RS NSM BS KN BS NSE VTHOG SVS ZM KN KO NSE SVS NSE KN LO NSE VTHOK ZM VTUOM LB NSE BS VVHOG KN NSM BS VTHSG VTUOP UPO ZE 
0.4777777777777778 	Dit is ongeag of die selfmoord, of poging tot selfmoord as gevolg van waansin (tydelik of permanent), geestesiekte, of die invloed van dwelms of dronkenskap van die versekerde lewe was.	 PDOENP VTHOK SVS KO LB NSE ZM KN NSE SVS NSE KO NSE SVS NA ZPL ASP KN NSE ZPR ZM NSM ZM KN LB NA SVS NA KN NA SVS LB ASA NSE VVHOK ZE 
0.3904761904761904 	¥ Verskaf aan ons ware en volledige inligting.	 ASA NSE SVS PEMB ASA KN ASA NM ZE 
0.43555555555555575 	¥ Stel ons in kennis van enigiets wat jy nog nie meegedeel het nie, maar wat vir ons belangrik mag wees ten einde jou polis te aanvaar, of van enigiets wat verander wat moontlik vir ons belangrik kan wees sodat jou polis van krag sal bly.	 BS VTHOG PEMP SVS NA SVS PO PB PTENP BS BS VVHOG VUOT UPO ZM KN PB SVS PEMB ASP VTUOM VTHOK SVS NSE PTEB NSE UPI VTHOG ZM KN SVS PO PB VTHOO PB ASP SVS PEMB ASP VTUOM VTHOK KO PTEB NSE SVS NA VTUOM VTHOK ZE 
0.36666666666666664 	¥ Verkeerde inligting, nie-openbaarmaking of wanvoorstelling van inligting kan die versekeraar in terme van enige eise voortspruitend uit jou versekeringskontrak be•nvloed.	 ASA ASA NM ZM NA KN NA SVS NM VTUOM LB NSE SVS NSM SVS PO ASA NSE SVS PTEB NSE VTHOG ZE 
0.4971014492753623 	Dit kan ook die versekeraar se keuse be•nvloed om polisvoordele aan te bied, of om jou polis te aanvaar of af te keur.	 PDOENP VTUOM BS LB NSE UPS NSE VTHOG SVS NSM UPW UPI VTHOG ZM KN SVS PTEB NSE UPI VTHOG KN UPW UPI VTHOG ZE 
0.44861111111111107 	¥ Stel ons in kennis as enige van die polisbesonderhede of verklarings nie korrek is nie, of as enige van hierdie polisbesonderhede of verklarings verander.	 BS VTHOG PEMP SVS NM KO PO UPD LB NSM KN NSM BS ASP VTHOK UPO ZM KN KO PO SVS PA NSM KN NSM VTHOG ZE 
0.5611111111111112 	Nadat ons jou laat weet wat ons oor jou eis besluit het, het jy 90 dae om jou sê te sê (verto‘ aan te teken).	 KO PEMP PTEB VTUOA VTHOG PB PEMP SVS PTEB NSE VTHOG VUOT ZM VTHOG PTENP RS NSM SVS PTEDP NA UPI VTHOG ZPL NSM UPW UPI VTHOG ZPR 
0.4549019607843137 	As jy dit nie in hierdie tyd doen nie, sal ons nie die betwiste eise heroorweeg nie.	 KO PTENP PDOENP BS SVS PA NM VTHOG UPO ZM VTUOM PEMP BS LB ASA NSM VTHOG UPO ZE 
0.5916666666666666 	As ons wel verto‘ ontvang, sal die besluit heroorweeg word en sal ons jou laat weet wat die uitkoms is.	 KO PEMP BS NA VTHOG ZM VTUOM LB NSE VTHOG VTUOP KN VTUOM PEMP PTEB VTUOA VTHOG PB LB NSE VTHOK ZE 
0.3614583333333333 	Indien ons, n‡ hersiening, nie jou eis of Õn deel daarvan vergoed nie en jy steeds ontevrede is, moet jy binne ses maande n‡ afloop van bogenoemde 90 dae, geregtelike prosesstukke teen ons voorlê.	 KO PEMP ZM ASA NA ZM BS PTEB NSE KN LO NSE PB BS BS KN PTENP BS ASP VTHOK ZM VTUOM PTENP SVS THAB NSM BS NA SVS ASA RS NSM ZM ASA NSM SVS PEMB NSE ZE 
0.5574074074074074 	As jy nie aan hierdie tydsbeperking voldoen nie, sal jy verhinder word om met regsprosedure voort te gaan.	 KO PTENP BS SVS PA NSE VTHOV UPO ZM VTUOM PTENP VTHOG VTUOP SVS SVS NSE UPW UPI VTHOO ZE 
